cell_name,sample,patient,source,cell_type,cell_subtype,cluster,cluster_annotation,complexity
353,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte precursor,27,MONOCYTE:precursor,755
21,BC05_TUMOR1,BC05,breast tumor,Neutrophil,Neutrophil,29,NEUTROPHIL:,368
22,BC05_TUMOR1,BC05,breast tumor,Neutrophil,Neutrophil,29,NEUTROPHIL:,377
127,BC05_TUMOR1,BC05,breast tumor,Neutrophil,Neutrophil,29,NEUTROPHIL:,378
276,BC05_TUMOR1,BC05,breast tumor,Neutrophil,Neutrophil,29,NEUTROPHIL:,369
335,BC05_TUMOR1,BC05,breast tumor,Neutrophil,Neutrophil,29,NEUTROPHIL:,732
47,BC05_TUMOR1,BC05,breast tumor,Mast,Mast,31,MAST:,929
101,BC05_TUMOR1,BC05,breast tumor,Mast,Mast,31,MAST:,1964
190,BC05_TUMOR1,BC05,breast tumor,Mast,Mast,31,MAST:,1190
241,BC05_TUMOR1,BC05,breast tumor,Mast,Mast,31,MAST:,1986
278,BC05_TUMOR1,BC05,breast tumor,Mast,Mast,31,MAST:,1618
54,BC05_TUMOR1,BC05,breast tumor,Dendritic,mDC,37,mDC:,1817
75,BC05_TUMOR1,BC05,breast tumor,Dendritic,mDC,37,mDC:,1661
98,BC05_TUMOR1,BC05,breast tumor,Dendritic,mDC,37,mDC:,2284
46,BC05_TUMOR1,BC05,breast tumor,Dendritic,mDC,38,mDC:,407
96,BC05_TUMOR1,BC05,breast tumor,Dendritic,mDC,38,mDC:,517
152,BC05_TUMOR1,BC05,breast tumor,Dendritic,mDC,38,mDC:,950
199,BC05_TUMOR1,BC05,breast tumor,Dendritic,mDC,38,mDC:,272
310,BC05_TUMOR1,BC05,breast tumor,Dendritic,mDC,38,mDC:,337
339,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,39,B:,246
8,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,40,MONOCYTE:,2167
203,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,40,MONOCYTE:,1287
208,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,40,MONOCYTE:,1876
321,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,40,MONOCYTE:,1291
331,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,40,MONOCYTE:,1816
18,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,43,T:CD8+NAIVE,593
124,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,43,T:CD8+NAIVE,690
265,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,43,T:CD8+NAIVE,291
266,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,43,T:CD8+NAIVE,466
163,BC05_TUMOR1,BC05,breast tumor,Mast,Mast,44,MAST:,402
154,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,45,T:CD8+EM,718
159,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,45,T:CD8+EM,330
160,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,45,T:CD8+EM,371
162,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,45,T:CD8+EM,511
250,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,45,T:CD8+EM,394
91,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,46,T:Reg,457
202,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,46,T:Reg,556
333,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,46,T:Reg,512
25,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,47,T:CD4+CM,723
55,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,47,T:CD4+CM,534
81,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,47,T:CD4+CM,1043
150,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,47,T:CD4+CM,772
226,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,47,T:CD4+CM,789
235,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,47,T:CD4+CM,787
259,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,47,T:CD4+CM,434
31,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,48,B:,704
38,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,48,B:,519
111,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,48,B:,307
133,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,48,B:,276
172,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,48,B:,268
184,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,48,B:,323
229,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,48,B:,563
283,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,48,B:,380
109,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,50,NK:CD56-16+3-,761
126,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,50,NK:CD56-16+3-,649
156,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,50,NK:CD56-16+3-,695
173,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,50,NK:CD56-16+3-,743
227,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,50,NK:CD56-16+3-,959
320,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,50,NK:CD56-16+3-,433
51,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,51,T:CD8+EM,638
100,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,51,T:CD8+EM,604
116,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,51,T:CD8+EM,453
166,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,51,T:CD8+EM,427
194,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,51,T:CD8+EM,546
72,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,54,MONOCYTE:,1742
171,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,54,MONOCYTE:,1763
0,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,56,T:Reg,1561
23,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,56,T:Reg,1254
71,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,56,T:Reg,1604
113,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,56,T:Reg,1452
120,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,56,T:Reg,1970
239,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,56,T:Reg,1697
293,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,56,T:Reg,955
296,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,56,T:Reg,2019
303,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,56,T:Reg,1255
319,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,56,T:Reg,1604
53,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,57,B:,446
73,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,57,B:,739
168,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,57,B:,874
204,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,57,B:,689
242,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,57,B:,622
257,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,57,B:,485
264,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,57,B:,641
269,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,57,B:,918
272,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,57,B:,626
355,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,57,B:,761
16,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,58,T:CD8+CM,623
193,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,58,T:CD8+CM,519
295,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,58,T:CD8+CM,506
12,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,59,T:CD8+EM,683
42,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,59,T:CD8+EM,607
345,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,59,T:CD8+EM,470
76,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,60,T:CD4+NAIVE,650
121,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,60,T:CD4+NAIVE,722
245,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,60,T:CD4+NAIVE,727
338,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,60,T:CD4+NAIVE,665
344,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,60,T:CD4+NAIVE,571
104,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,62,T:CD8+EM,505
161,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,62,T:CD8+EM,368
196,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,62,T:CD8+EM,385
267,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,62,T:CD8+EM,476
292,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,62,T:CD8+EM,396
304,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,62,T:CD8+EM,614
44,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,63,NK:CD56+16+3-,625
60,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,63,NK:CD56+16+3-,422
132,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,63,NK:CD56+16+3-,440
138,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,63,NK:CD56+16+3-,526
165,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,63,NK:CD56+16+3-,535
228,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,63,NK:CD56+16+3-,479
243,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,63,NK:CD56+16+3-,1419
294,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,63,NK:CD56+16+3-,785
7,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte precursor,64,MONOCYTE:precursor,292
29,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte precursor,64,MONOCYTE:precursor,342
130,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte precursor,64,MONOCYTE:precursor,373
131,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte precursor,64,MONOCYTE:precursor,369
238,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte precursor,64,MONOCYTE:precursor,284
258,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte precursor,64,MONOCYTE:precursor,310
66,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,65,B:,757
69,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,65,B:,815
151,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,65,B:,906
249,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,65,B:,870
299,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,65,B:,637
317,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,65,B:,677
360,BC05_TUMOR1,BC05,breast tumor,B_cell,B cell,65,B:,529
90,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,66,T:CD4+CM,671
174,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,66,T:CD4+CM,585
217,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,66,T:CD4+CM,612
307,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,66,T:CD4+CM,604
324,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,66,T:CD4+CM,834
330,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,66,T:CD4+CM,763
45,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,67,MONOCYTE:,1406
67,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,67,MONOCYTE:,1474
114,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,67,MONOCYTE:,1084
170,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,67,MONOCYTE:,2755
191,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,67,MONOCYTE:,1437
290,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,67,MONOCYTE:,1667
105,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,68,MONOCYTE:,858
179,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,68,MONOCYTE:,1260
201,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,68,MONOCYTE:,2236
205,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,68,MONOCYTE:,676
218,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,68,MONOCYTE:,1470
222,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,68,MONOCYTE:,943
342,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,68,MONOCYTE:,1086
102,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,70,T:CD4+EM,706
146,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,70,T:CD4+EM,519
185,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,70,T:CD4+EM,542
195,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,70,T:CD4+EM,526
212,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,70,T:CD4+EM,920
270,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,70,T:CD4+EM,630
282,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,70,T:CD4+EM,738
301,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,70,T:CD4+EM,742
306,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,70,T:CD4+EM,679
325,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,70,T:CD4+EM,762
11,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,71,T:CD4+EM,679
62,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,71,T:CD4+EM,631
143,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,71,T:CD4+EM,839
336,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,71,T:CD4+EM,722
357,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,71,T:CD4+EM,531
358,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,71,T:CD4+EM,528
4,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,72,T:CD8+EM,441
175,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,72,T:CD8+EM,571
197,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,72,T:CD8+EM,821
210,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,72,T:CD8+EM,602
268,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,72,T:CD8+EM,588
309,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,72,T:CD8+EM,611
316,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,72,T:CD8+EM,584
340,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,72,T:CD8+EM,585
341,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,72,T:CD8+EM,558
15,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,74,T:CD8+EM,695
41,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,74,T:CD8+EM,543
129,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,74,T:CD8+EM,559
214,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,74,T:CD8+EM,624
232,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,74,T:CD8+EM,643
252,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,74,T:CD8+EM,606
313,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,74,T:CD8+EM,834
361,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,74,T:CD8+EM,481
9,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,75,T:CD4+CM,773
10,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,75,T:CD4+CM,685
50,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,75,T:CD4+CM,853
68,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,75,T:CD4+CM,578
88,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,75,T:CD4+CM,591
97,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,75,T:CD4+CM,711
164,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,75,T:CD4+CM,642
182,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,75,T:CD4+CM,750
183,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,75,T:CD4+CM,541
198,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,75,T:CD4+CM,711
318,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,75,T:CD4+CM,656
135,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,76,T:CD8+EM,376
157,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,76,T:CD8+EM,458
180,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,76,T:CD8+EM,518
254,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,76,T:CD8+EM,318
43,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,77,T:CD8+CM,559
86,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,77,T:CD8+CM,628
148,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,77,T:CD8+CM,757
155,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,77,T:CD8+CM,505
167,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,77,T:CD8+CM,427
186,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,77,T:CD8+CM,626
223,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,77,T:CD8+CM,760
251,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,77,T:CD8+CM,648
308,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,77,T:CD8+CM,553
326,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,77,T:CD8+CM,376
356,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,77,T:CD8+CM,658
2,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,78,NK:CD56+16+3-,718
70,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,78,NK:CD56+16+3-,724
110,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,78,NK:CD56+16+3-,742
145,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,78,NK:CD56+16+3-,554
236,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,78,NK:CD56+16+3-,754
289,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,78,NK:CD56+16+3-,759
298,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,78,NK:CD56+16+3-,762
328,BC05_TUMOR1,BC05,breast tumor,NK_cell,NK cell,78,NK:CD56+16+3-,744
63,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,80,T:Reg,884
144,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,80,T:Reg,1217
200,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,80,T:Reg,1447
74,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,81,T:CD4+NAIVE,462
107,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,81,T:CD4+NAIVE,255
169,BC05_TUMOR1,BC05,breast tumor,T_cell,CD4 T cell,81,T:CD4+NAIVE,670
1,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,82,T:Reg,982
17,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,82,T:Reg,824
59,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,82,T:Reg,936
87,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,82,T:Reg,567
93,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,82,T:Reg,1015
233,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,82,T:Reg,1220
234,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,82,T:Reg,471
255,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,82,T:Reg,1512
284,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,82,T:Reg,1008
327,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,82,T:Reg,1451
354,BC05_TUMOR1,BC05,breast tumor,T_cell,T-reg,82,T:Reg,1084
52,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,83,T:CD8+EM,899
85,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,83,T:CD8+EM,585
112,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,83,T:CD8+EM,555
311,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,83,T:CD8+EM,577
315,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,83,T:CD8+EM,486
322,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,83,T:CD8+EM,361
351,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,83,T:CD8+EM,796
30,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,84,MONOCYTE:,1611
65,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,84,MONOCYTE:,1659
118,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,84,MONOCYTE:,2165
122,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,84,MONOCYTE:,1798
141,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,84,MONOCYTE:,1713
158,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,84,MONOCYTE:,1288
192,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,84,MONOCYTE:,1545
213,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,84,MONOCYTE:,1648
231,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,84,MONOCYTE:,1539
343,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,84,MONOCYTE:,1720
26,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,85,T:CD8+EM,682
147,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,85,T:CD8+EM,620
178,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,85,T:CD8+EM,673
221,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,85,T:CD8+EM,324
237,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,85,T:CD8+EM,641
253,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,85,T:CD8+EM,274
287,BC05_TUMOR1,BC05,breast tumor,T_cell,CD8 T cell,85,T:CD8+EM,580
24,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,86,MONOCYTE:,1682
57,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,86,MONOCYTE:,1584
83,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,86,MONOCYTE:,1842
248,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,86,MONOCYTE:,2063
312,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,86,MONOCYTE:,1548
347,BC05_TUMOR1,BC05,breast tumor,Monocyte,Monocyte,86,MONOCYTE:,1799
